author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2023-12-17,Sunday,0,Mini,21619,,0,100,True,,58
Joel Fagliano,,Normal,2023-12-18,Monday,1,Mini,21630,,0,100,True,,29
Joel Fagliano,,Normal,2023-12-19,Tuesday,2,Mini,21631,,0,100,True,,15
Joel Fagliano,,Normal,2023-12-20,Wednesday,3,Mini,21632,,0,100,True,,23
Joel Fagliano,,Normal,2023-12-21,Thursday,4,Mini,21633,,0,100,True,,35
Joel Fagliano,,Normal,2023-12-22,Friday,5,Mini,21635,,0,100,True,,69
Joel Fagliano,,Normal,2023-12-23,Saturday,6,Mini,21636,,0,100,True,,57
Joel Fagliano,,Normal,2023-12-24,Sunday,0,Mini,21634,,0,100,True,,20
Joel Fagliano,,Normal,2023-12-25,Monday,1,Mini,21646,,0,100,True,,36
Joel Fagliano,,Normal,2023-12-26,Tuesday,2,Mini,21640,,0,100,True,,31
Joel Fagliano,,Normal,2023-12-27,Wednesday,3,Mini,21642,,0,100,True,,40
Joel Fagliano,,Normal,2023-12-28,Thursday,4,Mini,21643,,0,100,True,,33
Joel Fagliano,,Normal,2023-12-29,Friday,5,Mini,21641,,0,100,True,,53
Joel Fagliano,,Normal,2023-12-30,Saturday,6,Mini,21651,,0,100,True,,110
Joel Fagliano,,Normal,2023-12-31,Sunday,0,Mini,21652,,0,100,True,,34
Joel Fagliano,,Normal,2024-01-01,Monday,1,Mini,21644,,0,100,True,,112
Joel Fagliano,,Normal,2024-01-02,Tuesday,2,Mini,21650,,0,100,True,,22
Joel Fagliano,,Normal,2024-01-03,Wednesday,3,Mini,21653,,0,100,True,,50
Joel Fagliano,,Normal,2024-01-04,Thursday,4,Mini,21663,,0,100,True,,34
Joel Fagliano,,Normal,2024-01-05,Friday,5,Mini,21664,,0,100,True,,123
Joel Fagliano,,Normal,2024-01-06,Saturday,6,Mini,21666,,0,100,True,,49
Joel Fagliano,,Normal,2024-01-07,Sunday,0,Mini,21665,,0,100,True,,57
Joel Fagliano,,Normal,2024-01-08,Monday,1,Mini,21671,,0,100,True,,87
Joel Fagliano,,Normal,2024-01-09,Tuesday,2,Mini,21676,,0,100,True,,25
Joel Fagliano,,Normal,2024-01-10,Wednesday,3,Mini,21672,,0,100,True,,81
Joel Fagliano,,Normal,2024-01-11,Thursday,4,Mini,21677,,0,100,True,,85
Joel Fagliano,,Normal,2024-01-12,Friday,5,Mini,21680,,0,100,True,,49
Joel Fagliano,,Normal,2024-01-13,Saturday,6,Mini,21675,,0,100,True,,166
Joel Fagliano,,Normal,2024-01-14,Sunday,0,Mini,21681,,0,100,True,,22
Joel Fagliano,,Normal,2024-01-15,Monday,1,Mini,21692,,0,100,True,,38
Joel Fagliano,,Normal,2024-01-16,Tuesday,2,Mini,21695,,0,100,True,,29
